block_height,hash,received,confirmed,fees,gas_fee_cap,gas_price,gas_tip_cap,gas_used
20000009,66fb0d0b0479d734891b5894a74b5de0fa5309ed085da7a9303e80a325639de7,2024-06-01T22:38:26.38Z,2024-06-01T22:38:35Z,510653000000000,13000000000,13000000000,13000000000,39281
20000009,512694a44d6ec1549b786d2a912dd2613da9b95d1d4f6c169ffde18a72536b9e,2024-06-01T22:38:08.773Z,2024-06-01T22:38:35Z,1074065830656000,51145991936,51145991936,8000000000,21000
20000009,a86e2633fad8863ea7616105af18f49f6f8b7dd7732c498690b09c0d0ada232e,2024-06-01T22:38:27.572Z,2024-06-01T22:38:35Z,223333966044000,10634950764,10634950764,10634950764,21000
20000009,8fa3a000b26a6c0bb8a4e170f1437a14da88111cda6b5443a6213ed5d1b5f816,2024-06-01T22:38:33.948Z,2024-06-01T22:38:35Z,218514168054000,10405436574,10405436574,10405436574,21000
20000009,b3ba6543d93740bc255555ced0f05888a65fba9afb07d19532fdf1f62b39781e,2024-06-01T22:38:35.086Z,2024-06-01T22:38:35Z,391348064888902,8428957438,8428957438,8428957438,46429
20000009,39d562521053385ecf62ee2d678d25658586bcca08b34487dc186ebc461bda9e,2024-06-01T22:38:25.709Z,2024-06-01T22:38:35Z,365813593651853,9140724636,9140724636,3000000000,46589
20000009,0480c9a1f0bfbb14a6f475cc8fd47f089d94d13698a96cc280d0c979d5146e58,2024-06-01T22:38:28.329Z,2024-06-01T22:38:35Z,1952892913458555,200000000000,200000000000,3000000000,248715
20000009,7d1478b7b0a945a9798ce12851ac076c0b1e942215eb3b96d1091b4592aa916a,2024-06-01T22:38:29.819Z,2024-06-01T22:38:35Z,324355400205293,8048025713,8048025713,3000000000,41309
20000009,ebb5f04adf2b04cf5bf9f761215d78a4d1f97315098f880f5d58c6094ebaac05,2024-06-01T22:38:30.457Z,2024-06-01T22:38:35Z,164890542117000,10634950764,10634950764,3000000000,21000
20000009,a64cc385bf375f95a6b769209125e5e30ee91c05ec51dae0ae6a6dd11c2ef1ee,2024-06-01T22:38:32.038Z,2024-06-01T22:38:35Z,164890542117000,10634950764,10634950764,3000000000,21000
20000009,ef758e8d59af30ff47199a9be144b711a1ea479712b1a2e593c53e3c413c5070,2024-06-01T22:38:33.671Z,2024-06-01T22:38:35Z,355496156873675,102000000000,102000000000,3000000000,45275
20000009,87e2707e82325efbe97e7731b120be5e4514a07f1c52813546f13a21e2b8663a,2024-06-01T22:38:35.765Z,2024-06-01T22:38:35Z,164890542117000,200000000000,200000000000,3000000000,21000
20000009,9c72978749187821638f7116a8eb4af26c421f1edf693ccb4ba1898f05af23d7,2024-06-01T22:38:24.949Z,2024-06-01T22:38:35Z,163127838867000,8978458971,8978458971,2916061750,21000
20000009,38d41b8df6423e0da505e8e526c74d7284795bdcf2918cdc524ba331eb7a4767,2024-06-01T22:38:26.008Z,2024-06-01T22:38:35Z,151600010499000,7712097779,7712097779,2367117542,21000
20000009,5e226c62d98d1d7025ef5181560e27a3d9762c9e799e25182e9cf1a38eb97c6e,2024-06-01T22:38:24.863Z,2024-06-01T22:38:35Z,332441785186200,7100725900,7100725900,7100725900,46818
20000009,3a8ba249638e2d75dacf3ae2d7807fa1e5d4c25aa8cde6b4a707ce09450d3314,2024-06-01T22:38:35.007Z,2024-06-01T22:38:35Z,414661090382300,7100725900,7100725900,7100725900,58397
20000010,fb9c75cf156d21455b50939b3d80f4eeaaff72a1d6630548b3c296055f7584a2,2024-06-01T22:38:41.682Z,2024-06-01T22:38:47Z,215835813165000,10277895865,10277895865,10277895865,21000
20000010,814210b20dad631fe8ce4a8834a8ee7523f93a82a8cdb7f5553e036d7e983af8,2024-06-01T22:38:44.829Z,2024-06-01T22:38:47Z,215835813165000,10277895865,10277895865,10277895865,21000
20000010,5a3bcc6269983095d5d75e1b42e7b9a30c2a5332b882cd8c0df77a89c44028e2,2024-06-01T22:38:43.989Z,2024-06-01T22:38:47Z,2396461588183835,24713861154,24713861154,5010000000,247561
20000010,ad330695af596693a186484996b5c924eca80ea5472b43bcbafd5c042ee666af,2024-06-01T22:38:24.957Z,2024-06-01T22:38:47Z,14768775000000000,35000000000,35000000000,5000000000,421965
20000010,3fd41dd932237fc53aa8ebe93a36b6dc906da276bea2ef6df578f88557ce254e,2024-06-01T22:38:43.767Z,2024-06-01T22:38:47Z,184800000000000,8800000000,8800000000,8800000000,21000
20000010,5584be549ed9af3bcd682ae2fe77cdc69e6cff5d8be188d71db1e2e8ce4bfa53,2024-06-01T22:38:37.932Z,2024-06-01T22:38:47Z,162881520669000,7756262889,7756262889,7756262889,21000
20000010,08d5867ec59b85f2ea0d98cf6925a0ec7d01a25a800f0368faf5d2366ad78e6c,2024-06-01T22:38:38.013Z,2024-06-01T22:38:47Z,162881520669000,7756262889,7756262889,7756262889,21000
20000010,dbecafa9f2472e4501d1753c13dcf2dabce318b7d9f2f25d66f5fe50e80bb0ae,2024-06-01T22:38:37.956Z,2024-06-01T22:38:47Z,162881520669000,7756262889,7756262889,7756262889,21000
20000010,0f6e38446acecf69201e998ab23b39411087f8d5a6c8ea10bd0729984a876e8c,2024-06-01T22:38:35.564Z,2024-06-01T22:38:47Z,161076031935000,200000000000,200000000000,3000000000,21000
20000010,6aae7da3213a9d22ca72bc4896297f3977e1c2aab14e75d5e7961943834913c0,2024-06-01T22:38:37.639Z,2024-06-01T22:38:47Z,484739142390295,10634950764,10634950764,3000000000,63197
20000010,566e6d5c19ab56d84a93c9ce1c3b9cbe250525bc5e060b33c1776721a8bfcd40,2024-06-01T22:38:41.815Z,2024-06-01T22:38:47Z,285626156056930,102000000000,102000000000,3000000000,37238
20000010,09aa848489f6114b8920e952fb4fb03bf2b18b57cddbd9b431771992ab081ca3,2024-06-01T22:38:41.811Z,2024-06-01T22:38:47Z,161076031935000,102000000000,102000000000,3000000000,21000
